18:33:28,522 INFO  [App] Injecting checker: TypeCardinalityChecker
18:33:28,548 INFO  [App] Injecting checker: CardinalityChecker
18:33:28,549 INFO  [App] Injecting checker: DocumentTypeLister
18:33:28,597 INFO  [App] Starting esync...
18:33:28,602 INFO  [App] Executing 3 checkers with a pool of 3 thread(s).
18:33:28,608 INFO  [InfoListener] TypeCardinalityChecker: Starting
18:33:28,609 INFO  [InfoListener] CardinalityChecker: Starting
18:36:48,906 ERROR [MissingListener] MISS: 0171b597-8f5e-4c0c-a664-c9aa050c6286, type SampleCustomPicture
18:36:48,906 ERROR [MissingListener] MISS: f2bf69b8-dc31-4386-9b88-5f196a941d28, type SampleCustomPicture
18:36:48,906 ERROR [MissingListener] MISS: 144d156a-0f1e-41f0-a17e-1b9bd3b445ed, type SampleCustomPicture
18:36:48,906 ERROR [MissingListener] MISS: bc82a0f5-edf5-4f8f-97c5-4745de5d63cd, type SampleCustomPicture
18:36:48,906 ERROR [MissingListener] MISS: f69fc3fe-7bbf-4037-96ee-1fc65e562dae, type SampleCustomPicture
18:36:48,906 ERROR [MissingListener] MISS: c29eba22-9da3-45b9-a658-3c8a2df138c4, type SampleCustomPicture
18:36:48,907 ERROR [MissingListener] MISS: 7225a752-3794-473b-969b-055a95c9f9c9, type SampleCustomPicture
18:36:48,907 ERROR [MissingListener] MISS: 348758fb-82a1-49b0-8c36-d897b6eac17c, type SampleCustomPicture
18:36:48,907 ERROR [MissingListener] MISS: 30983498-fbed-42ae-b68e-3fa12e229ea4, type SampleCustomPicture
18:36:48,907 ERROR [MissingListener] MISS: c242ca64-2315-40a5-894d-02f2bacbe16c, type SampleCustomPicture
18:36:48,907 ERROR [MissingListener] MISS: 5b5bc16f-8e83-4c70-94c8-728f6b23051b, type SampleCustomPicture
18:36:48,908 ERROR [MissingListener] MISS: 6bcac802-a766-4eff-9f05-ee67960f843d, type SampleCustomPicture
18:36:48,908 ERROR [MissingListener] MISS: 7458c7db-2599-44bb-80f1-1b5013911560, type SampleCustomPicture
18:36:48,908 ERROR [MissingListener] MISS: af0b436d-a4df-46e5-8574-a582ca16d945, type SampleCustomPicture
18:36:48,908 ERROR [MissingListener] MISS: 3c7c6f5b-fa71-49e1-b31d-c66e6b851c96, type SampleCustomPicture
18:36:48,908 ERROR [MissingListener] MISS: 2cac922b-973c-4fd8-bf4b-d63d6ab07f16, type SampleCustomPicture
18:36:48,908 ERROR [MissingListener] MISS: 820fdb6c-8451-47f1-b525-05c5ef389d37, type SampleCustomPicture
18:36:48,909 ERROR [MissingListener] MISS: 08a03a58-7098-45f3-8549-0e57610752b4, type SampleCustomPicture
18:36:48,909 ERROR [MissingListener] MISS: 351f67cb-013d-45ef-b2a4-23e566a9dc2a, type SampleCustomPicture
18:36:48,909 ERROR [MissingListener] MISS: 107d44c2-ed77-442d-a223-67e748a40bd2, type SampleCustomPicture
18:36:48,909 ERROR [MissingListener] MISS: 31baef42-3e2b-4388-af91-19aa58e88e31, type SampleCustomPicture
18:36:48,909 ERROR [MissingListener] MISS: f75657a7-9d81-42b5-9b02-b38275e6c86c, type SampleCustomPicture
18:36:48,909 ERROR [MissingListener] MISS: 0c9295c8-5665-4cb4-ad73-ec423913e3df, type SampleCustomPicture
18:36:48,909 ERROR [MissingListener] MISS: 8137bc36-1291-46bb-9266-d72c9042ab44, type SampleCustomPicture
18:36:48,909 ERROR [MissingListener] MISS: 15b5151a-21db-4c50-b55e-7ad3af09cabc, type SampleCustomPicture
18:36:48,909 ERROR [MissingListener] MISS: 331e86f9-28c3-46e6-b008-b8be80d0993e, type SampleCustomPicture
18:36:48,910 ERROR [MissingListener] MISS: 79e72ff2-4254-43ef-811a-1ef0fedcdbfa, type SampleCustomPicture
18:36:48,910 ERROR [MissingListener] MISS: 2417bfdc-4644-42eb-8d63-a0da905f40c6, type SampleCustomPicture
18:36:48,910 ERROR [MissingListener] MISS: 8979f88a-3847-46a3-91a1-8ba96d59f760, type SampleCustomPicture
